country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,city_ascii,country,lat,lng
Spain,A Coruna,27.0,Good,0.0,Good,27.0,Good,1.0,Good,20.0,Good,A Coruna,Spain,43.365,-8.41
Denmark,Aabenraa,45.0,Good,1.0,Good,38.0,Good,2.0,Good,45.0,Good,Aabenraa,Denmark,55.0444,9.4181
Germany,Aachen,55.0,Moderate,1.0,Good,43.0,Good,1.0,Good,55.0,Moderate,Aachen,Germany,50.7756,6.0836
Denmark,Aalborg,46.0,Good,1.0,Good,46.0,Good,0.0,Good,12.0,Good,Aalborg,Denmark,57.05,9.9167
Netherlands,Aalburg,30.0,Good,0.0,Good,30.0,Good,2.0,Good,29.0,Good,,,,
Germany,Aalen,61.0,Moderate,1.0,Good,36.0,Good,3.0,Good,61.0,Moderate,Aalen,Germany,48.8333,10.1
Netherlands,Aalsmeer,38.0,Good,1.0,Good,33.0,Good,4.0,Good,38.0,Good,Aalsmeer,Netherlands,52.2667,4.75
Belgium,Aalst,51.0,Moderate,1.0,Good,38.0,Good,2.0,Good,51.0,Moderate,Aalst,Belgium,50.9383,4.0392
Netherlands,Aalten,31.0,Good,1.0,Good,31.0,Good,2.0,Good,23.0,Good,Aalten,Netherlands,51.9333,6.5833
Belgium,Aalter,36.0,Good,1.0,Good,25.0,Good,3.0,Good,36.0,Good,,,,
Finland,Aanekoski,33.0,Good,1.0,Good,33.0,Good,0.0,Good,3.0,Good,Aanekoski,Finland,62.6,25.725
Switzerland,Aarau,103.0,Unhealthy for Sensitive Groups,1.0,Good,27.0,Good,2.0,Good,103.0,Unhealthy for Sensitive Groups,Aarau,Switzerland,47.4,8.05
Belgium,Aarschot,44.0,Good,1.0,Good,29.0,Good,3.0,Good,44.0,Good,Aarschot,Belgium,50.9833,4.8333
Belgium,Aartselaar,41.0,Good,1.0,Good,29.0,Good,4.0,Good,41.0,Good,Aartselaar,Belgium,51.1333,4.3833
Nigeria,Aba,196.0,Unhealthy,13.0,Good,6.0,Good,13.0,Good,196.0,Unhealthy,Aba,China,32.9039,101.6925
Nigeria,Aba,196.0,Unhealthy,13.0,Good,6.0,Good,13.0,Good,196.0,Unhealthy,Aba,Nigeria,5.1167,7.3667
Iran (Islamic Republic of),Abadan,164.0,Unhealthy,1.0,Good,134.0,Unhealthy for Sensitive Groups,1.0,Good,164.0,Unhealthy,Abadan,Turkmenistan,38.0517,58.21
Brazil,Abaete,39.0,Good,1.0,Good,2.0,Good,3.0,Good,39.0,Good,Abaete,Brazil,-19.1583,-45.4522
Brazil,Abaetetuba,36.0,Good,0.0,Good,17.0,Good,0.0,Good,36.0,Good,Abaetetuba,Brazil,-1.7178,-48.8828
Nigeria,Abakaliki,72.0,Moderate,2.0,Good,38.0,Good,0.0,Good,72.0,Moderate,Abakaliki,Nigeria,6.3249,8.1137
Russian Federation,Abakan,57.0,Moderate,1.0,Good,43.0,Good,0.0,Good,57.0,Moderate,Abakan,Russia,53.7167,91.4667
Niger,Abalak,101.0,Unhealthy for Sensitive Groups,1.0,Good,40.0,Good,0.0,Good,101.0,Unhealthy for Sensitive Groups,,,,
Peru,Abancay,24.0,Good,1.0,Good,0.0,Good,2.0,Good,24.0,Good,Abancay,Peru,-13.6333,-72.8833
Italy,Abano Terme,69.0,Moderate,1.0,Good,41.0,Good,2.0,Good,69.0,Moderate,Abano Terme,Italy,45.3603,11.79
Spain,Abaran,47.0,Good,1.0,Good,21.0,Good,2.0,Good,47.0,Good,Abaran,Spain,38.2031,-1.4003
